"","R0_chain_M","R0_chain_A","R0_chain_O","R0_chain_Al","beta_chain_A","beta_chain_M","beta_chain_O","beta_chain_Al","rho_chain","omega1_chain","omega2_chain","k_chain","I0_chain_M","I0_chain_A","I0_chain_O","I0_chain_Al"
"2741",1.14936030166887,1.30808575534278,1.12838981813841,1.88905786619713,1.35432923016181,1.18999251094959,1.16828067844936,1.95583987915795,0.540069013602964,0.42168162649623,0.562884378690876,0.287216208252554,208.408131943534,1.90041373018328,158.854791340014,731.378815042966
"2742",1.34856133774685,1.41040766887399,1.14492106488354,2.17038332161723,0.955539555843639,0.913639176910671,0.775674572649099,1.47041678864684,0.297127266624946,0.356210457824371,0.502674387879831,0.327420227887457,150.691805707494,3.4967087449683,1332.87839216852,453.496166090463
"2743",1.40211841555876,1.41519160211932,1.20813192842794,2.04619955100322,0.830829944187367,0.823154944671974,0.709269459459481,1.20128176015907,0.188882433007273,0.248985330575239,0.303067102904526,0.306551447924779,230.660167123095,7.46351989114348,1553.04482522016,1806.85862131665
"2744",1.26790089533348,1.39807435527563,1.1907445450271,1.98167900134274,0.920005025947476,0.834344176122264,0.783571318585913,1.30404698016971,0.276362982579617,0.316609276056808,0.376834188097537,0.538221345663876,906.721561664446,4.61197168927077,1073.68737635206,2376.75802467052
"2745",1.24901117079391,1.35033005624111,1.17251310156853,2.0162447465276,0.947838842587549,0.876719952305373,0.823023568180884,1.4152651628312,0.321599534008996,0.344770973413199,0.475330519234218,0.473366422814133,779.315063305304,8.76019005280533,735.92964854336,599.075184382585
"2746",1.43292417310219,1.47468541200031,1.19629322488705,2.18101361634687,0.889672013445907,0.864477619311306,0.721719082182618,1.31579709110722,0.210685355998028,0.336877199624894,0.379096132378738,0.109469226492952,143.863045247257,1.72171208233406,1103.34516893692,1665.00634246501
"2747",1.08837005666815,1.25624511919615,1.04745215272299,1.78572634215,1.63233677800004,1.41420368081526,1.36103587266403,2.32033282294472,0.633524178598174,0.462420926803388,0.596479124118828,0.448376945407748,139.12662371599,1.78228495869189,282.152793452283,1692.74297410468
"2748",1.40323921130411,1.51878236801247,1.17352968186839,2.34550185272995,1.08729674508564,1.00457936512927,0.840130245274497,1.67914546795996,0.334836876572651,0.40666102694127,0.519539378990935,0.278097694299004,192.315806653587,0.32554745247267,1354.55348045155,859.497755885899
"2749",1.15549495894401,1.36827050918173,1.10516676711822,2.05506095490172,1.31159000477948,1.10762866593564,1.05938531572501,1.96993020720268,0.503230900700422,0.435706745847496,0.548089764383522,0.233473898694316,335.713139156681,0.719506141363094,503.390742102918,263.345859556887
"2750",1.22343437931352,1.37104687514749,1.19431652328761,1.96508502010634,1.01067894324863,0.90186512805087,0.880400651167272,1.44857924810276,0.3540189308215,0.314817973371522,0.500172568204457,0.176510249916165,846.529290487194,2.24021940009182,445.380795048043,620.549084972526
"2751",1.37668275127547,1.45167225623059,1.21507473627263,2.32024577870431,1.08928498024471,1.03301543243666,0.911750330982652,1.74103270650185,0.365388749956277,0.382433934074793,0.456349200938149,0.47411607813343,68.5182035230784,0.948958749268789,271.005344400438,296.531389334663
"2752",1.43227623318416,1.48758002578321,1.18798108244912,2.29060564208579,0.843385581343596,0.812031018588496,0.673527540354697,1.29866208042308,0.160085900780231,0.273641548712705,0.314989780389108,0.233455383824386,361.953009828964,2.23502005243792,2032.14609418349,799.636327059178
"2753",1.28428932318036,1.41038977005487,1.14400551854551,2.10448780130814,1.04473273904206,0.951325038522146,0.84741115133215,1.55887922021423,0.35714259626589,0.369425177722324,0.548432847371056,0.256263062334592,232.970182847967,1.89241336574208,899.219244866203,987.632709198013
"2754",1.19685687811483,1.34938484582203,1.12027432184219,1.99719570634866,1.13110236060634,1.00324799432509,0.939053772454692,1.6741204594362,0.431913295670474,0.391897945335863,0.568636317044248,0.402949003754497,363.267894646584,2.24760365410875,646.707028032594,604.576102467587
"2755",1.17204633644913,1.32486713034044,1.09383591127385,2.08933452729809,1.32848994020846,1.17525126238942,1.09682697312648,2.09504775058649,0.5251081016188,0.430216235695144,0.590844711909879,0.309924813003879,236.26224596521,2.07099158070973,481.568190139359,270.236383715652
"2756",1.31036190839149,1.41430984813004,1.17368679838613,2.00361045297686,0.887064806740031,0.821867948217753,0.736144384740219,1.25667817529671,0.240776012141696,0.340707297118635,0.420788929763631,0.305634854433098,390.290392297563,3.72419966806642,1109.57202951999,3433.38703156646
"2757",1.04574422376366,1.30652606787311,1.01073450136529,1.83222929619215,1.43602557797159,1.14939570688039,1.11091591066508,2.013835160843,0.566751957653449,0.381746211927347,0.635415636702631,0.6424745107501,495.414070915353,0.905496727654256,1344.88886773987,274.316627612465
"2758",1.41313231593578,1.47886278492006,1.19971223502955,2.16192958502367,0.837793749110743,0.800556639216115,0.679651568413611,1.22475939676062,0.159434676471464,0.254830737961405,0.293457698570565,0.281207340730648,286.60636785914,1.92861899380377,1107.28077908592,1513.94487578268
"2759",1.35320784998065,1.36787376544236,1.24030922216642,2.02361551787031,0.764305588139179,0.756110942240012,0.693028328689225,1.13070422697468,0.147764363047099,0.148678362721757,0.206092277162585,0.399491908387528,670.270240443292,31.4751690916451,1072.40510933395,1169.97812323453
"2760",1.25270647316603,1.42170187801177,1.19247184197883,2.07648760034649,0.90291241648393,0.795584676594223,0.75733010491334,1.31876201756852,0.250203140491013,0.294479819751334,0.437682486887116,0.402163769068985,1241.97844157294,3.02740479721342,743.985669623696,988.493565186496
"2761",1.36116467020505,1.43395433916857,1.17716524764066,2.13241941176044,1.00691240937942,0.955800028076905,0.826596958747541,1.49736955288836,0.32185223536482,0.369574354398073,0.554682004815329,0.243008598618656,129.599124170895,1.03276777961277,542.282570021861,379.119662819717
"2762",1.40524092989945,1.46723434852633,1.22175170941502,2.18610455117409,0.8657568492648,0.829176989449309,0.720907271281786,1.28993367030212,0.192980080144789,0.290898944893097,0.347500051910708,0.332849721231038,357.61723869148,2.51301151788495,948.205178955426,1053.79949287036
"2763",1.17286327178117,1.38089343639368,1.10500660061874,1.87502209957211,1.19628933196964,1.01606958430847,0.957284301045354,1.62436063189886,0.450326701516304,0.385014713903818,0.538019476201027,0.342234453852079,474.985381498116,0.770738059907838,699.727729920738,2471.01480026031
