"","variant","lower","mean","upper","Location"
"1","pMO",0.00518195433486614,0.00518208426371647,0.00518220209776187,"Veneto"
"2","R0_A",0.0119264688706401,0.0123562613245579,0.012833754156786,"Veneto"
"3","R0_Al",0.0184004277466506,0.0192247434146801,0.0203325927044036,"Veneto"
"4","R0_M",0.0121700067421534,0.0124239417602999,0.0127931430653045,"Veneto"
"5","R0_O",0.0105269426867255,0.0107373411230014,0.0111370920779636,"Veneto"
"6","rep_A",2.90772299906937,3.63867303242879,4.56391064296409,"Veneto"
"7","rep_Al",1.41507240911308,2.10085641461571,2.88329315699275,"Veneto"
"8","rep_M",0.79912654618509,0.924277832413831,1.04494780924613,"Veneto"
"9","rep_O",0.934977679007856,1.34084435070957,1.74118659985454,"Veneto"
"10","rep_tot",6.96319107620958,8.0046516301679,9.37893274762981,"Veneto"
"11","true_A",6.54851354114985,8.55746778543796,11.0052216020688,"Veneto"
"12","true_Al",3.31142327114479,4.90013533278124,7.04847300581814,"Veneto"
"13","true_M",4.02867762780619,4.82268664863658,6.425328832065,"Veneto"
"14","true_O",2.11408056010413,3.12514371872315,4.24667352012976,"Veneto"
"15","true_tot",18.1481638852966,21.4054334855789,26.0653269222944,"Veneto"
"16","ratio_M",0.211240956963134,0.2661027584389,0.288780552290687,"Veneto"
"17","ratio_A",0.376245183891297,0.470977338783612,0.510302420984237,"Veneto"
"18","ratio_O",0.412725644056597,0.51886489283852,0.562388980284033,"Veneto"
"19","ratio_Al",0.322838419745315,0.407587033595453,0.442537760559324,"Veneto"
