"","Date","variant","lower_rep","lower_true","mean_rep","mean_true","upper_rep","upper_true"
"1",2020-05-01,"M",0,0,0,0,0,0
"2",2020-05-01,"A",0,5.73268302843335e-06,0,5.1672083300431e-05,0,0.000192882495091596
"3",2020-05-01,"O",0,0.00178877198150542,0,0.00799439071316169,0,0.0159787585324316
"4",2020-05-01,"Al",0,0,0,0,0,0
"5",2020-05-02,"M",0,0,0,0,0,0
"6",2020-05-02,"A",1.25761412264876e-06,1.64739864279303e-05,1.11204577974598e-05,0.000148327891575816,4.12707986293536e-05,0.000553382704868536
"7",2020-05-02,"O",0.000408749711853404,0.00512761137270573,0.00171406451571832,0.0228933841109454,0.00317652270665282,0.0457422899132013
"8",2020-05-02,"Al",0,0,0,0,0,0
"9",2020-05-03,"M",0,0,0,0,0,0
"10",2020-05-03,"A",3.07376366772101e-06,1.712206185555e-05,2.7129563334218e-05,0.000152980942964585,0.000100639576855983,0.000568695254525828
"11",2020-05-03,"O",0.000994705541903052,0.00523362626339097,0.00416423132485165,0.0232047763289752,0.00770744533880867,0.0462644814286385
"12",2020-05-03,"Al",0,0,0,0,0,0
"13",2020-05-04,"M",0,0,0,0,0,0
"14",2020-05-04,"A",4.46087131242261e-06,1.67321062627711e-05,3.91861207513568e-05,0.000147623026743343,0.000145180552518504,0.000545812760266263
"15",2020-05-04,"O",0.00142720041492789,0.00495783081679555,0.00594979375271485,0.0217375221885058,0.0109809321787892,0.043213906978543
"16",2020-05-04,"Al",0,0,0,0,0,0
"17",2020-05-05,"M",0,0,0,0,0,0
"18",2020-05-05,"A",5.47123652156643e-06,1.68578287811522e-05,4.77269861179873e-05,0.000146663138184686,0.000176462545220912,0.000539259821784383
"19",2020-05-05,"O",0.00172052380729288,0.0048185292400502,0.00712949808176967,0.0208705649393657,0.0131107908150539,0.0413858923359558
"20",2020-05-05,"Al",0,0,0,0,0,0
"21",2020-05-06,"M",0,0,0,0,0,0
"22",2020-05-06,"A",6.26837793090699e-06,1.75422571732971e-05,5.42161299241828e-05,0.000150575082843537,0.000199918311126617,0.000550869810310083
"23",2020-05-06,"O",0.00192924340935517,0.00483885374825297,0.00793693262634759,0.0207189753432825,0.0145403914341715,0.0410078108388607
"24",2020-05-06,"Al",0,0,0,0,0,0
"25",2020-05-07,"M",0,0,0,0,0,0
"26",2020-05-07,"A",6.9700067527364e-06,1.8627844366091e-05,5.97136668522581e-05,0.000157901105311663,0.000219497125125056,0.000575070518794828
"27",2020-05-07,"O",0.00209348092451966,0.00496863641566477,0.00854464148004737,0.0210526361063874,0.0155960317583023,0.0416080635557156
"28",2020-05-07,"Al",0,0,0,0,0,0
"29",2020-05-08,"M",0,0,0,0,0,0
"30",2020-05-08,"A",7.6456922221321e-06,1.99947516787454e-05,6.48437875872975e-05,0.000167499015871592,0.000237527910947076,0.000607468389683809
"31",2020-05-08,"O",0.00223697591669978,0.00516658167940106,0.00905462561686196,0.0216792783232744,0.0164690396994059,0.0427938160770987
"32",2020-05-08,"Al",0,0,0,0,0,0
"33",2020-05-09,"M",0,0,0,0,0,0
"34",2020-05-09,"A",8.33466739462741e-06,2.15767597678998e-05,6.9952799952415e-05,0.000178713033868643,0.000255300588783293,0.000645520761451736
"35",2020-05-09,"O",0.00237279775202595,0.00540786042983326,0.00952268230142637,0.0224822017595047,0.0172627633116087,0.0443273870628171
"36",2020-05-09,"Al",0,0,0,0,0,0
"37",2020-05-10,"M",0,0,0,0,0,0
"38",2020-05-10,"A",9.05950654084029e-06,2.33435836107622e-05,7.52328707753933e-05,0.000191216837779787,0.000273525319689487,0.000687940069098094
"39",2020-05-10,"O",0.00250798562794522,0.00567913236500635,0.00997845372808596,0.0233979253292457,0.0180311873161159,0.0460800123722816
"40",2020-05-10,"Al",0,0,0,0,0,0
"41",2020-05-11,"M",0,0,0,0,0,0
"42",2020-05-11,"A",9.83419470890219e-06,2.52856380388271e-05,8.07955965964217e-05,0.000204873178257329,0.000292606978521789,0.000734156241880938
"43",2020-05-11,"O",0.00264635974729098,0.00597372663003282,0.0104376237131061,0.0243938891111815,0.0188022738334609,0.0479859139005407
"44",2020-05-11,"Al",0,0,0,0,0,0
"45",2020-05-12,"M",0,0,0,0,0,0
"46",2020-05-12,"A",1.06684995585231e-05,2.74048287151814e-05,8.67119758582336e-05,0.000219647797428983,0.000312794930345946,0.000783986496073332
"47",2020-05-12,"O",0.00279006949927234,0.00628859759259754,0.0109086343039696,0.0254542629998851,0.0195906809457921,0.050013171184594
"48",2020-05-12,"Al",0,0,0,0,0,0
"49",2020-05-13,"M",0,0,0,0,0,0
"50",2020-05-13,"A",1.15702646127455e-05,2.97095666023718e-05,9.30333470559788e-05,0.000235562332167896,0.000334261773498071,0.000837454771131565
"51",2020-05-13,"O",0.00294041261966904,0.00662262259466865,0.0113962297461075,0.0265719994637304,0.0204043811779805,0.0521474936218206
"52",2020-05-13,"Al",0,0,0,0,0,0
"53",2020-05-14,"M",0,0,0,0,0,0
"54",2020-05-14,"A",1.25466025332737e-05,3.22122076686121e-05,9.98022047706272e-05,0.000252669801211418,0.000357144114124982,0.000894697848807257
"55",2020-05-14,"O",0.00309826082988608,0.00697569648435521,0.0119032890785925,0.027744612502738,0.021252137899308,0.0543836587086179
"56",2020-05-14,"Al",0,0,0,0,0,0
"57",2020-05-15,"M",0,0,0,0,0,0
"58",2020-05-15,"A",1.36045220823359e-05,3.49277917141691e-05,0.00010705778346293,0.000271042222266406,0.000381563612379521,0.000955917897781036
