"","Date","variant","lower_rep","lower_true","mean_rep","mean_true","upper_rep","upper_true"
"1",2020-05-01,"M",0,0,0,0,0,0
"2",2020-05-01,"A",0,8.1767372106644e-06,0,6.66795459208031e-05,0,0.00021315493931888
"3",2020-05-01,"O",0,0.00126966944411278,0,0.00651324909275494,0,0.0147367964339212
"4",2020-05-01,"Al",0,0,0,0,0,0
"5",2020-05-02,"M",0,0,0,0,0,0
"6",2020-05-02,"A",1.85369472134652e-06,2.35029917201725e-05,1.44266777989613e-05,0.000191415546175272,4.5007821864394e-05,0.000611591872346541
"7",2020-05-02,"O",0.000293416139880162,0.00363963863151693,0.00139842798238359,0.0186517201454958,0.00284375025778404,0.0421891717487405
"8",2020-05-02,"Al",0,0,0,0,0,0
"9",2020-05-03,"M",0,0,0,0,0,0
"10",2020-05-03,"A",4.53246593092144e-06,2.44634048232129e-05,3.5197592184167e-05,0.000197472215320767,0.000109777816961085,0.000628793257638191
"11",2020-05-03,"O",0.000714055276056888,0.00371510681572241,0.00339735390284253,0.018904194378308,0.00690061552778305,0.0426663910434184
"12",2020-05-03,"Al",0,0,0,0,0,0
"13",2020-05-04,"M",0,0,0,0,0,0
"14",2020-05-04,"A",6.58379109608475e-06,2.39531700436213e-05,5.0847064874402e-05,0.000190627510889954,0.000158441509748091,0.000603788760306204
"15",2020-05-04,"O",0.00102454833169745,0.00351914517398646,0.00485387333688815,0.0177065910301473,0.00983308618091638,0.0397995643073527
"16",2020-05-04,"Al",0,0,0,0,0,0
"17",2020-05-05,"M",0,0,0,0,0,0
"18",2020-05-05,"A",8.08434040854911e-06,2.41758389454392e-05,6.19419052975444e-05,0.000189456385617665,0.000192692799151502,0.000596725412027843
"19",2020-05-05,"O",0.0012350857793959,0.00341953579301581,0.00581586904508798,0.0169975621831321,0.0117422414466446,0.0380111125437377
"20",2020-05-05,"Al",0,0,0,0,0,0
"21",2020-05-06,"M",0,0,0,0,0,0
"22",2020-05-06,"A",9.27373780730249e-06,2.5193585331996e-05,7.03799041994811e-05,0.000194569909996532,0.000218428555123137,0.000609655073025713
"23",2020-05-06,"O",0.00138478705665603,0.00343286904957542,0.00647393344009349,0.0168711129293617,0.0130240828589827,0.0375292888794877
"24",2020-05-06,"Al",0,0,0,0,0,0
"25",2020-05-07,"M",0,0,0,0,0,0
"26",2020-05-07,"A",1.03246689259249e-05,2.67852840031642e-05,7.75353115426993e-05,0.000204091177302181,0.000239940488454493,0.000636463880878431
"27",2020-05-07,"O",0.00150243754505807,0.00352368995352952,0.0069688711419967,0.0171398440388043,0.0139703081434711,0.0379334895923481
"28",2020-05-07,"Al",0,0,0,0,0,0
"29",2020-05-08,"M",0,0,0,0,0,0
"30",2020-05-08,"A",1.13395056975887e-05,2.87828444105076e-05,8.4217492807338e-05,0.000216549860853958,0.000259764791082808,0.000672324673825441
"31",2020-05-08,"O",0.00160508428281391,0.00366276415668611,0.00738392829855915,0.0176471096738614,0.0147521731631624,0.0388680839460342
"32",2020-05-08,"Al",0,0,0,0,0,0
"33",2020-05-09,"M",0,0,0,0,0,0
"34",2020-05-09,"A",1.23762827119631e-05,3.1093642682889e-05,9.08757491549852e-05,0.000231102037606786,0.000279310404122361,0.000714440561481761
"35",2020-05-09,"O",0.00170212135748342,0.00383249006934806,0.00776464534009996,0.0182978020200935,0.0154623367663653,0.0401155145385987
"36",2020-05-09,"Al",0,0,0,0,0,0
"37",2020-05-10,"M",0,0,0,0,0,0
"38",2020-05-10,"A",1.34686515540752e-05,3.36757257787505e-05,9.77596445389326e-05,0.000247328121386399,0.000299355907284673,0.000761393163275832
"39",2020-05-10,"O",0.00179861288132841,0.00402339341925222,0.00813521500652474,0.0190401661346548,0.0161492931252709,0.0415563478661309
"40",2020-05-10,"Al",0,0,0,0,0,0
"41",2020-05-11,"M",0,0,0,0,0,0
"42",2020-05-11,"A",1.46376731528747e-05,3.65164446377739e-05,0.000105014332020039,0.000265052158490273,0.000320347029160842,0.000812553349138555
"43",2020-05-11,"O",0.00189730835730867,0.00423072340983545,0.00850843556035534,0.0198476413001138,0.0168382103805351,0.0431284668819191
"44",2020-05-11,"Al",0,0,0,0,0,0
"45",2020-05-12,"M",0,0,0,0,0,0
"46",2020-05-12,"A",1.5898225225676e-05,3.96195228048277e-05,0.000112732357048225,0.000284231012469375,0.000342559415368844,0.000867718831521609
"47",2020-05-12,"O",0.00199975393487457,0.00445229977541011,0.00889119271740016,0.0207073004720735,0.017542304694834,0.0448008876908093
"48",2020-05-12,"Al",0,0,0,0,0,0
"49",2020-05-13,"M",0,0,0,0,0,0
"50",2020-05-13,"A",1.72623769746503e-05,4.29980429308466e-05,0.000120980802192574,0.000304893716836157,0.000366184477183777,0.000926915675741885
"51",2020-05-13,"O",0.00210688119339264,0.00468730733810412,0.00928735252056198,0.0216133747199488,0.0182687710143485,0.0465590121501991
"52",2020-05-13,"Al",0,0,0,0,0,0
"53",2020-05-14,"M",0,0,0,0,0,0
"54",2020-05-14,"A",1.87411543676545e-05,4.667083905669e-05,0.000129815315842777,0.000327109898103446,0.000391374009244481,0.000990294896710196
"55",2020-05-14,"O",0.00221931352820572,0.0049356538710573,0.00969925743036357,0.0225638130503262,0.0190218070284368,0.0483967548294222
"56",2020-05-14,"Al",0,0,0,0,0,0
"57",2020-05-15,"M",0,0,0,0,0,0
"58",2020-05-15,"A",2.03454740909289e-05,5.06607195352171e-05,0.000139287359128017,0.00035097381993798,0.000418263312265754,0.00105808007133823
