"","variant","lower","mean","upper"
"1","rep_A",4.05705585462345,5.55135934863703,7.07502652368528
"2","rep_Al",0.00541089374529423,0.00979485317692267,0.0171206859709985
"3","rep_M",0,0,0
"4","rep_O",2.12818910422714,2.93355925222167,3.86148502861855
"5","rep_tot",6.3900923136767,8.49471345403562,10.4977039248242
"6","true_A",11.59262767385,14.6503687925839,17.7476782448511
"7","true_Al",0.0134118131053544,0.0268893294517931,0.053082755492585
"8","true_M",15.1915099680932,17.8744830736429,20.5418358721791
"9","true_O",5.60409768011115,7.73679113360542,9.90342272054873
"10","true_tot",37.6714752889273,40.288532329284,43.0275796644737
