"","variant","lower","mean","upper","R0_scale"
"1","rep_A",3.26985291247296,4.1286012404196,5.08002301115775,".8"
"2","rep_Al",2.94047540505922,4.17228148435316,5.6989913485009,".8"
"3","rep_M",0.00669185765055118,0.00821140082430939,0.00987507639648471,".8"
"4","rep_O",0.993076373551897,1.42202050846595,1.84175711619164,".8"
"5","rep_tot",8.29034245251833,9.73111463406303,11.3645664066424,".8"
"6","true_A",7.34980480933084,9.72121161501538,12.6517590965853,".8"
"7","true_Al",6.67811874533211,9.75259637794634,13.9162051416794,".8"
"8","true_M",0.0286073092677263,0.036313033766769,0.047480259049883,".8"
"9","true_O",2.24228968450048,3.31824961016178,4.51502787540355,".8"
"10","true_tot",18.812044947937,22.8283706368903,29.3112990731966,".8"
"11","rep_A",2.90772299906937,3.63867303242879,4.56391064296409,"1"
"12","rep_Al",1.41507240911308,2.10085641461571,2.88329315699275,"1"
"13","rep_M",0.79912654618509,0.924277832413831,1.04494780924613,"1"
"14","rep_O",0.934977679007856,1.34084435070957,1.74118659985454,"1"
"15","rep_tot",6.96319107620958,8.0046516301679,9.37893274762981,"1"
"16","true_A",6.54851354114985,8.55746778543796,11.0052216020688,"1"
"17","true_Al",3.31142327114479,4.90013533278124,7.04847300581814,"1"
"18","true_M",4.02867762780619,4.82268664863658,6.425328832065,"1"
"19","true_O",2.11408056010413,3.12514371872315,4.24667352012976,"1"
"20","true_tot",18.1481638852966,21.4054334855789,26.0653269222944,"1"
"21","rep_A",0.708619321902523,0.976401391637846,1.34522063800374,"1.2"
"22","rep_Al",0.000949608779823041,0.0020110239421921,0.0030583520842435,"1.2"
"23","rep_M",9.14400253649566,10.8509379664606,11.8029047153806,"1.2"
"24","rep_O",0.441603601135424,0.648260904740442,0.856896172146689,"1.2"
"25","rep_tot",10.638285977616,12.4776112867811,13.510318652214,"1.2"
"26","true_A",1.62003527505374,2.27240205253266,3.09549233157437,"1.2"
"27","true_Al",0.00258184435555074,0.00469699879137328,0.00698944224662689,"1.2"
"28","true_M",53.8441685784677,56.2839306097494,59.6808094663422,"1.2"
"29","true_O",0.996024586846972,1.48774838884096,2.06350589714235,"1.2"
"30","true_tot",57.8486339004519,60.0487780499144,64.0784898942666,"1.2"
"31","rep_A",0.129161291576644,0.205996366068729,0.318224610362432,"1.4"
"32","rep_Al",4.41570293055103e-05,9.34667438781997e-05,0.000153498702706334,"1.4"
"33","rep_M",14.6387189753765,17.880233311122,19.2130303169252,"1.4"
"34","rep_O",0.162059681981554,0.255276461822145,0.348988562695673,"1.4"
"35","rep_tot",15.0919761466575,18.3415996057568,19.6463119503471,"1.4"
"36","true_A",0.279004307621134,0.46647730972518,0.686703544246474,"1.4"
"37","true_Al",0.000117863109697411,0.000218316740862589,0.000346595348365766,"1.4"
"38","true_M",81.1882185926031,82.1449015909064,83.3121998268962,"1.4"
"39","true_O",0.359480411299298,0.56673095276608,0.815300982480862,"1.4"
"40","true_tot",82.1967309486334,83.1783281701385,84.4090994314396,"1.4"
"41","rep_A",0.0413452024379705,0.0760668308149479,0.124078183407397,"1.6"
"42","rep_Al",1.48729814759128e-05,3.09359914652798e-05,5.14781970346453e-05,"1.6"
"43","rep_M",18.5672551150272,22.6583949444914,24.2279371059291,"1.6"
"44","rep_O",0.0870314180049638,0.141695481216203,0.198063787023263,"1.6"
"45","rep_tot",18.7896885921728,22.876188192514,24.4500849167929,"1.6"
"46","true_A",0.087157813483181,0.167089004163461,0.258867048981822,"1.6"
"47","true_Al",3.79888116587412e-05,7.23804669070372e-05,0.000116758769379771,"1.6"
"48","true_M",87.7350106672652,88.4130258667718,89.2741907046297,"1.6"
"49","true_O",0.178959404628288,0.305331304516335,0.452597156348353,"1.6"
"50","true_tot",88.1674931329019,88.8855185559185,89.7820633540454,"1.6"
