"","beta_chain_A","beta_chain_M","beta_chain_O","beta_chain_Al","rho_chain","omega1_chain","omega2_chain","k_chain","I0_chain_M","I0_chain_A","I0_chain_O","I0_chain_Al"
"112",1.27270899136444,0.921367635704134,1.14900230129434,1.68420540947175,0.489997083010442,0.313630977927683,0.280013491678258,0.265678499150256,1436.75130787081,8.46153369186291,84.1288411224002,1169.7174575812
"113",1.41353831114879,0.991637145911072,1.24087893134722,2.16867679108204,0.535670606242882,0.395657481982853,0.442071092577288,0.146038087165391,1255.03686145514,7.27882598535391,42.3360756012566,99.0320418119102
"114",0.869677573666154,0.815783785889895,0.731262306398827,1.36844993472896,0.243186724585147,0.213462552341049,0.262186890883879,0.348194502891642,1680.96866322899,72.9622309758687,558.446750560822,160.925940185853
"115",1.31737230944398,0.883884087390319,1.13872147547277,1.89560032045581,0.533344492838971,0.334413790047128,0.533760055851122,0.220579693128672,2007.69474291017,13.8586847460029,127.004256298621,82.8012781010308
"116",1.24971893404935,0.865629882312443,1.13777352748069,1.77505872650927,0.521812825098786,0.334929420262938,0.381726399607879,0.560665721685621,1631.65685445647,75.3345927397624,90.5861271505489,365.270048852711
"117",1.2793377010157,0.896510608593953,1.03564229468646,1.70549349122552,0.471330885855796,0.390741701234721,0.369725142350779,0.451233068271023,1247.68265578872,2.81949407321388,275.548082320594,387.400952445608
"118",0.994893500702237,0.981215296566738,0.864975480795731,1.83385099743046,0.318468767772184,0.280826799544916,0.270941890127893,0.556622896235899,630.521312931616,43.4001097388091,351.513017296698,39.416266312087
"119",1.1951769490921,0.848870373889865,1.14929011976199,1.74098085834044,0.543777199423678,0.259840993318604,0.268985123198712,0.623831856877338,1817.38621991324,208.337345166646,98.2436587412829,122.048062453335
"120",1.48270851873127,1.00190973740108,1.37033196990198,2.32316342616218,0.643477224389453,0.21285931272955,0.260247617000288,1.38966654681898,2427.63926182611,674.627735651901,783.560789195956,675.242065968728
"121",2.83203367627324,1.0796154215582,2.28342211922052,3.93698141421019,0.841901331355384,0.39289935253646,0.441226751355657,0.804789526868923,1784.30935600517,17.0818309226124,922.331867459344,188.849143168227
