"","Date","M_Variant_M","M_Variant_L","M_Variant_U","A_Variant_M","A_Variant_L","A_Variant_U","O_Variant_M","O_Variant_L","O_Variant_U","Al_Variant_M","Al_Variant_L","Al_Variant_U","M_fit_M","A_fit_M","O_fit_M","Al_fit_M","M_fit_L","A_fit_L","O_fit_L","Al_fit_L","M_fit_U","A_fit_U","O_fit_U","Al_fit_U"
"240",2021-02-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,143,10,941,18,69,1,513,111,328,89,2162
"241",2021-02-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,137,9,945,18,65,1,516,109,319,86,2154
"242",2021-02-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,131,9,951,17,62,1,520,108,308,84,2146
"243",2021-02-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,126,9,957,17,59,1,528,107,296,81,2138
"244",2021-03-01,13,4,47,72,40,126,NA,NA,NA,1358,1279,1420,39,121,8,962,16,56,1,535,104,284,78,2129
"245",2021-03-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,116,8,967,15,53,1,539,100,273,76,2137
"246",2021-03-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,111,7,975,15,50,1,542,97,262,73,2144
"247",2021-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,105,7,983,14,47,1,541,95,252,71,2150
"248",2021-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,101,6,990,14,45,1,541,92,242,68,2143
"249",2021-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,96,6,997,13,42,1,541,89,234,65,2124
"250",2021-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,91,6,999,12,40,1,541,87,227,62,2131
"251",2021-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,87,5,1009,12,38,1,540,85,220,59,2142
"252",2021-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,83,5,1011,11,36,0,539,82,214,57,2148
"253",2021-03-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,80,5,1015,11,34,0,536,80,207,55,2177
"254",2021-03-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,76,4,1018,10,32,0,534,78,200,52,2193
"255",2021-03-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,73,4,1017,10,30,0,531,76,193,50,2207
"256",2021-03-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,70,4,1019,9,29,0,527,74,185,49,2221
"257",2021-03-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,67,4,1021,9,27,0,521,72,178,47,2234
"258",2021-03-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,63,3,1021,8,26,0,514,70,171,45,2251
"259",2021-03-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,60,3,999,8,25,0,516,66,161,43,2149
"260",2021-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,56,3,988,7,23,0,513,63,151,42,2101
"261",2021-03-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,53,3,980,7,22,0,510,61,143,40,2098
"262",2021-03-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,51,2,970,7,21,0,507,59,136,38,2101
"263",2021-03-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,48,2,966,7,20,0,504,58,129,36,2104
"264",2021-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,46,2,959,6,19,0,504,56,121,33,2106
"265",2021-03-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,43,2,948,6,18,0,501,54,113,31,2072
"266",2021-03-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,41,2,937,6,17,0,496,52,106,30,2034
"267",2021-03-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,38,2,926,5,16,0,492,50,100,28,2000
"268",2021-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,36,2,917,5,15,0,496,48,96,26,1984
"269",2021-03-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,34,2,916,5,14,0,500,46,92,25,1993
"270",2021-03-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,32,1,909,4,13,0,503,44,87,23,1979
"271",2021-03-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,31,1,899,4,12,0,504,42,82,22,1968
"272",2021-03-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,29,1,886,4,12,0,498,41,78,21,1984
"273",2021-03-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,28,1,878,4,11,0,490,39,74,20,1964
"274",2021-03-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,26,1,874,3,10,0,485,38,70,19,1920
"275",2021-04-01,0,0,12,7,2,23,NA,NA,NA,789,743,828,9,25,1,869,3,9,0,476,37,67,18,1857
"276",2021-04-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,24,1,856,3,9,0,465,35,64,17,1810
"277",2021-04-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,22,1,842,3,8,0,453,33,60,16,1793
"278",2021-04-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,21,1,832,2,8,0,443,32,57,15,1794
"279",2021-04-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,20,1,825,2,7,0,433,30,54,14,1786
"280",2021-04-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,18,1,812,2,7,0,423,29,51,14,1754
"281",2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,17,1,801,2,6,0,413,28,47,13,1722
"282",2021-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,16,1,785,2,6,0,407,27,44,12,1689
"283",2021-04-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,15,1,770,2,5,0,397,25,42,12,1657
"284",2021-04-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,14,1,753,2,5,0,386,24,40,11,1625
"285",2021-04-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,0,743,2,5,0,375,23,38,11,1614
"286",2021-04-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,0,732,1,4,0,365,22,36,10,1606
"287",2021-04-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,0,722,1,4,0,355,21,34,10,1593
"288",2021-04-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,11,0,708,1,4,0,345,20,33,9,1567
"289",2021-04-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,0,699,1,3,0,335,19,32,9,1547
"290",2021-04-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,10,0,689,1,3,0,325,18,30,9,1528
"291",2021-04-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9,0,671,1,3,0,317,17,29,8,1508
"292",2021-04-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9,0,660,1,3,0,309,17,28,8,1488
"293",2021-04-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,650,1,2,0,301,16,26,8,1469
"294",2021-04-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,8,0,640,1,2,0,291,15,25,7,1449
"295",2021-04-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,634,1,2,0,282,15,24,7,1454
"296",2021-04-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7,0,627,1,2,0,274,14,23,7,1460
"297",2021-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,617,1,2,0,268,14,22,6,1467
"298",2021-04-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,605,1,2,0,257,13,21,6,1487
"299",2021-04-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,0,589,1,2,0,250,13,19,6,1506
"300",2021-04-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,577,0,1,0,243,12,18,6,1525
"301",2021-04-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,566,0,1,0,234,12,17,5,1522
"302",2021-04-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5,0,556,0,1,0,222,11,16,5,1519
"303",2021-04-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,546,0,1,0,208,11,15,5,1517
"304",2021-04-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,0,537,0,1,0,198,11,15,5,1515
"305",2021-05-01,0,0,9,5,1,18,NA,NA,NA,314,290,332,1,4,0,526,0,1,0,190,10,14,4,1508
"306",2021-05-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,515,0,1,0,182,9,13,4,1500
"307",2021-05-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,502,0,1,0,176,9,12,4,1489
"308",2021-05-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,485,0,1,0,170,8,12,4,1471
"309",2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,471,0,1,0,164,8,11,3,1452
"310",2021-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,460,0,1,0,159,7,10,3,1432
"311",2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,0,451,0,1,0,153,7,10,3,1412
"312",2021-05-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,441,0,1,0,148,6,9,3,1391
"313",2021-05-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,429,0,1,0,143,6,9,3,1370
"314",2021-05-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,415,0,0,0,138,6,8,2,1348
"315",2021-05-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,401,0,0,0,133,5,8,2,1322
"316",2021-05-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,390,0,0,0,127,5,7,2,1293
"317",2021-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,378,0,0,0,121,5,7,2,1264
"318",2021-05-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,370,0,0,0,116,4,6,2,1235
"319",2021-05-15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,361,0,0,0,111,4,6,2,1206
"320",2021-05-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,351,0,0,0,106,4,6,2,1177
"321",2021-05-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,340,0,0,0,101,4,6,1,1148
"322",2021-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,330,0,0,0,96,3,5,1,1127
"323",2021-05-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,320,0,0,0,92,3,5,1,1107
"324",2021-05-20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,310,0,0,0,88,3,5,1,1087
"325",2021-05-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,301,0,0,0,84,3,4,1,1067
"326",2021-05-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,293,0,0,0,80,3,4,1,1048
"327",2021-05-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,285,0,0,0,76,3,4,1,1029
"328",2021-05-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,276,0,0,0,72,2,4,1,1010
"329",2021-05-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,270,0,0,0,69,2,4,1,991
"330",2021-05-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,263,0,0,0,66,2,3,1,971
"331",2021-05-27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,253,0,0,0,62,2,3,1,949
"332",2021-05-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,245,0,0,0,59,2,3,1,930
"333",2021-05-29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,237,0,0,0,56,2,3,1,912
"334",2021-05-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,230,0,0,0,54,2,3,1,893
"335",2021-05-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,222,0,0,0,51,2,3,1,875
