"","Date","variant","lower_rep","lower_true","mean_rep","mean_true","upper_rep","upper_true"
"1",2020-05-01,"M",0,0,0,0,0,0
"2",2020-05-01,"A",0,6.41971009446768e-06,0,6.00141001390601e-05,0,0.000334043512388402
"3",2020-05-01,"O",0,0.00199462189742373,0,0.0082775562323308,0,0.0176974743379756
"4",2020-05-01,"Al",0,0,0,0,0,0
"5",2020-05-02,"M",0,0,0,0,0,0
"6",2020-05-02,"A",1.45142731264272e-06,1.84520923962918e-05,1.28187776164063e-05,0.00017225787298101,6.77462108535196e-05,0.00095817824906123
"7",2020-05-02,"O",0.000403091508355881,0.00571617488767984,0.00178840144686043,0.023704575890259,0.00373716671748703,0.0506625400725005
"8",2020-05-02,"Al",0,0,0,0,0,0
"9",2020-05-03,"M",0,0,0,0,0,0
"10",2020-05-03,"A",3.54792658069965e-06,1.92015231307697e-05,3.12676783505016e-05,0.000177548791915329,0.000165063688798054,0.000983267435979324
"11",2020-05-03,"O",0.000979964305749255,0.0058246983164532,0.00434482865617534,0.0240283171830078,0.00907371812948376,0.0512269838286621
"12",2020-05-03,"Al",0,0,0,0,0,0
"13",2020-05-04,"M",0,0,0,0,0,0
"14",2020-05-04,"A",5.15071844882263e-06,1.87923857311745e-05,4.51456010549506e-05,0.000171164758954618,0.000237682082804879,0.000941479121980053
"15",2020-05-04,"O",0.00140307207782583,0.00550552238791308,0.00620773700054502,0.0225091752766642,0.0129444980417345,0.0477942719532597
"16",2020-05-04,"Al",0,0,0,0,0,0
"17",2020-05-05,"M",0,0,0,0,0,0
"18",2020-05-05,"A",6.32040863513312e-06,1.89560326828808e-05,5.49561369528901e-05,0.000169881908190248,0.000288242253681687,0.000927756179373355
"19",2020-05-05,"O",0.00168722773845574,0.00534040000455531,0.00743825805451528,0.0216097605223043,0.01547661668542,0.045679659177743
"20",2020-05-05,"Al",0,0,0,0,0,0
"21",2020-05-06,"M",0,0,0,0,0,0
