"","variant","lower","mean","upper","Location"
"1","rep_A",2.89728098655348,3.64802851150794,4.54800395080181,"Veneto"
"2","rep_Al",1.59945069274226,2.14254892342672,2.9375364335086,"Veneto"
"3","rep_M",0.806519992143379,0.912054657043655,1.06922333122427,"Veneto"
"4","rep_O",0.864979122662218,1.26939479698076,1.80413363227907,"Veneto"
"5","rep_tot",7.07730661368112,7.97202688895908,9.46542135638699,"Veneto"
"6","true_A",6.39638639792981,8.63624805094627,12.5819515057894,"Veneto"
"7","true_Al",3.5612970943895,5.02362907055694,7.30093255329577,"Veneto"
"8","true_M",3.99387236084398,4.7819314124888,6.22059805633577,"Veneto"
"9","true_O",1.99361220529994,2.98542716178437,4.95030813353063,"Veneto"
"10","true_tot",18.3688984232519,21.4272356957764,29.2461355411894,"Veneto"
"11","ratio_M",0.20318060040852,0.266037650655757,0.286563496333656,"Veneto"
"12","ratio_A",0.363174322999142,0.471457515506049,0.510187528981052,"Veneto"
"13","ratio_O",0.393855565016689,0.519187307568212,0.563931681299914,"Veneto"
"14","ratio_Al",0.308166605515101,0.407177212353072,0.437972232262869,"Veneto"
