"","variant","lower","mean","upper","Location"
"1","rep_A",1.92112829991787,2.79952846565445,4.29920670422412,"Rest of Italy"
"2","rep_Al",1.9097114419959,2.7544115434319,3.79350055894482,"Rest of Italy"
"3","rep_M",0.202279928673101,0.248186248150401,0.301519776296432,"Rest of Italy"
"4","rep_O",1.02861803541455,1.55875869726161,2.45518806642729,"Rest of Italy"
"5","rep_tot",5.9646470273,7.36088495449837,9.1859821214132,"Rest of Italy"
"6","true_A",3.98095068276328,6.12133284427844,12.2781157625277,"Rest of Italy"
"7","true_Al",4.24434850798421,6.22253810745495,8.62458970121973,"Rest of Italy"
"8","true_M",0.527801739917177,0.688446054996805,1.02397333344683,"Rest of Italy"
"9","true_O",2.01747888803844,3.31056272791568,6.12717873641073,"Rest of Italy"
"10","true_tot",12.2380478161208,16.3428797346459,24.479687111457,"Rest of Italy"
"11","ratio_M",0.285158305584583,0.375672430634775,0.404374361102635,"Rest of Italy"
"12","ratio_A",0.3723156984932,0.482281852352351,0.520149531250194,"Rest of Italy"
"13","ratio_O",0.400126468432096,0.531012380216743,0.578143737402727,"Rest of Italy"
"14","ratio_Al",0.312712017859028,0.414122674647472,0.448836567504698,"Rest of Italy"
