"","fit_SEIR_M","fit_SEIR_A","fit_SEIR_O","fit_SEIR_Al","true_SEIR_M","true_SEIR_A","true_SEIR_O","true_SEIR_Al","total_incidence","total_reported_incidence","R0_M","R0_A","R0_O","R0_Al","pPCR","Rep_M","Rep_A","Rep_O","Rep_Al","Rep_tot"
"mean",120630.034618132,1005508.36268337,738380.62814008,1612053.79583392,736511.776655623,4764167.68053707,3338759.16777451,7928668.56036893,16768107.1853361,3476572.8212755,595.102103444033,610.523935849265,501.902318619101,907.90232055238,310.588044214953,0.193565148653773,0.241855496496782,0.251785665048692,0.229902001926363,0.23617430757485
"lower",75309.8847583312,654961.149804884,416357.698779048,932630.522016784,269600.957627425,1623688.53175625,1127123.71186655,2841587.73115219,6548935.63719925,2460532.24822523,536.329685249201,566.649977640393,479.689617648378,808.44284107408,310.55527106555,0.0925378534389947,0.117127378653707,0.121880209734803,0.112254877374793,0.114339390524653
"upper",203445.347974662,1513224.72589447,1232201.49579125,2655213.67818791,1394246.32437033,8690564.05416746,6427850.98231087,15256231.4073518,27934809.9551193,4756501.68743774,669.213000732196,657.226952321421,538.109278643734,1006.63097473958,310.613699919467,0.411142984097646,0.500181511184158,0.517598598476589,0.475023610077425,0.488933391244433
