"","M_fit_M","A_fit_M","O_fit_M","Al_fit_M","T_M_fit_M","T_A_fit_M","T_O_fit_M","T_Al_fit_M","total_M","total_rep_M","M_R0_M","A_R0_M","O_R0_M","Al_R0_M","pPCR_M","M_fit_L","A_fit_L","O_fit_L","Al_fit_L","T_M_fit_L","T_A_fit_L","T_O_fit_L","T_Al_fit_L","total_L","total_rep_L","M_R0_L","A_R0_L","O_R0_L","Al_R0_L","pPCR_L","M_fit_U","A_fit_U","O_fit_U","Al_fit_U","T_M_fit_U","T_A_fit_U","T_O_fit_U","T_Al_fit_U","total_U","total_rep_U","M_R0_U","A_R0_U","O_R0_U","Al_R0_U","pPCR_U"
"208",101.253361478796,498.647710308312,107.496020445562,504.750733102052,431.155460039348,948.277796884583,192.192310377016,948.868270976125,2520.49383827707,1212.14782533472,1.78770587778163,1.79188306635824,1.61063524178728,2.66809610988878,0.357421499690448,52.4744405097891,334.881632207501,23.9438107545387,317.293348626381,198.083922597027,486.428502534834,41.8433639276846,527.589739905193,1576.15661274063,923.069653238642,1.5902786787628,1.53294391315869,1.33873564115603,2.2614244228265,0.357250807937467,175.154633961706,792.792956437589,296.404029364129,783.290998629889,842.209899385377,1829.77249541499,561.082231827321,2024.1803347775,4684.63069882808,1596.35366829704,2.11042103221804,2.16097938652557,2.04056792924492,3.30088046864869,0.357492581030308
"209",96.8987092192445,481.165081816652,102.905957435335,513.274803931298,415.863692600207,915.50537798601,184.042198324557,965.779718954185,2481.19098786496,1194.24455240253,1.79223504353646,1.79449128525314,1.61299409430356,2.67196045435037,0.35478204359926,49.5290816905584,324.566151679547,22.5463768702162,326.364788646351,190.261125277167,469.591233035667,39.5092979944538,541.739657871062,1553.35995740773,909.561235848406,1.59276010921248,1.5338370278755,1.33962794982711,2.26385743489882,0.354611859413917,168.960007897361,763.750797240046,288.364345835077,797.225171807349,818.726520204962,1767.02250528369,540.002242248094,2069.32823574938,4615.88328350375,1574.41378129847,2.11736912398632,2.16603897127754,2.04524759998959,3.30912304548589,0.354852671778299
"210",92.7053155754571,464.240320701765,98.5054907065876,521.867435765855,401.074820686211,883.770795075191,176.229122190772,982.864002176631,2443.9387401288,1177.31856274966,1.79684618861469,1.79714670765189,1.61539563701442,2.67589473741783,0.352094798854201,47.2121304783148,314.030706308824,21.2273161277294,335.626153232588,182.728731828028,453.31563599073,37.3023514918554,555.651964839857,1532.01063510636,896.888228196485,1.59521305901925,1.53474633936543,1.34053644023673,2.26633450024231,0.351925015648415,163.065226681442,735.649523695744,280.525686921088,811.278571936678,795.771017164415,1706.15086951524,519.675791902625,2115.08773859698,4550.61726591152,1559.6457401127,2.1244429581449,2.1711901364604,2.05001196516563,3.3175147138085,0.352165028898941
"211",88.6683874793949,447.858241126681,94.2871760158467,530.527942917787,386.774044450039,853.045653235621,168.739682362753,1000.12086523325,2408.68024528167,1161.34174753971,1.80153804045982,1.79984860084201,1.61783920727342,2.67989787347062,0.349360507267135,44.990339356639,301.419652101898,19.9824114889061,345.095482625827,175.476817642729,437.480722590785,35.215804897525,569.850054941861,1512.06483155522,883.786084251344,1.59768357246506,1.53567159633652,1.34146086068968,2.26885493425953,0.349191022929697,157.312201439068,708.464551413012,272.8679966453,825.448978091119,773.337218370257,1647.11470113238,500.077988622181,2161.45677745101,4488.70551986559,1545.72336581419,2.13164058349042,2.17643145906843,2.05485970736201,3.32605316208684,0.349430393476446
"212",84.7899408130716,432.008404152546,90.2447700960381,539.261135331369,372.946941743512,823.302134915582,161.560984198382,1017.5499245906,2375.35998544807,1146.30425039302,1.80626219279649,1.80256909016372,1.62029959550706,2.68392856312281,0.346607381000924,42.8638403407458,288.025380725317,18.8078818112943,354.779473534264,168.495772299763,421.97438356245,33.243262512584,584.338293690051,1493.4801767671,870.82995602706,1.60017116684258,1.53660324948443,1.3423916641078,2.2711374010445,0.346438112128025,151.712521409288,682.179089836852,265.391250184316,837.10757018732,751.41874715709,1589.87094926606,481.184615580592,2208.43181770646,4430.02250553624,1532.64706401431,2.1388877519109,2.18170885836477,2.05974079928447,3.33465032165096,0.346676971130828
"213",81.0547600816226,416.669168378453,86.3698780285908,548.057929059144,359.57939552862,794.512908238741,154.680592641683,1035.15072575569,2343.92362216474,1132.15173554781,1.81108910450137,1.80534874942583,1.62281349630474,2.68804692089507,0.343794355510957,40.8240677065818,275.194663025607,17.6996276007456,364.675997253612,161.776229198167,408.279615849599,31.3786868713866,599.070894936102,1476.21550317926,859.009171825931,1.60271294130074,1.53755519799262,1.34334274529651,2.27309151505874,0.343625201351542,146.190635917612,656.758203976043,258.088347866374,847.684162629827,730.008911004722,1534.37775007304,462.972456918546,2256.00876116311,4374.44584769796,1520.35789188065,2.14629253881178,2.18710104991554,2.06472805396174,3.34343439189755,0.3438637056191
"214",77.4675889824147,401.832344916185,82.6571192893368,556.925495088879,346.657658860387,766.651204787169,148.086563462171,1052.9226626851,2314.31808979483,1118.88254827682,1.81595041921196,1.80814821570345,1.62534531021116,2.69219462628368,0.340961270200867,38.8725919621171,263.591885575801,16.6543175827051,373.428618743324,155.309163876603,396.612666428001,29.6163167662015,613.959649396074,1460.2309666228,850.351126966715,1.60527290762706,1.53851395705753,1.34430062284476,2.27505956767553,0.340792154610687,140.810421149669,632.188212675138,250.960320169498,858.264907552639,709.100900396695,1480.59234120906,445.418576989346,2274.20686834007,4321.85488324543,1508.86604438006,2.15375009526739,2.19253166496376,2.06975082707314,3.3522810059344,0.341030427429526
"215",74.0116544218937,387.475642416549,79.0983704762485,565.851885559118,334.168264242386,739.690713570544,141.767358649247,1070.86514045866,2286.49147692084,1106.43755287381,1.82093663751521,1.81101960383892,1.62794216942028,2.69644889311389,0.338055379907758,37.0001885135117,253.243694585192,15.6682049987142,382.139252818862,149.085764448228,384.178638641744,27.950701487112,627.23771690736,1445.48790762321,842.313102756141,1.60789871733142,1.53949737944776,1.3452831437966,2.27707821679759,0.337886203642863,135.570519639328,611.347862720476,243.999130074877,868.829888492129,688.850648005907,1428.47327601597,428.500842513557,2284.12155236448,4272.13182711958,1498.10461064864,2.1613992383953,2.19810180955277,2.07490264315588,3.3605177773216,0.338124402037438
"216",69.509831822592,370.110147500648,74.9516518374396,567.038378345668,317.068216811309,707.605848264331,134.492191494074,1075.60489753887,2234.77115410859,1081.61000950635,1.82593760236392,1.81389940218653,1.63054662348122,2.7007156364496,0.335140756273168,34.6035442864186,240.401445468462,14.6499274182802,385.658027962538,140.623080468837,364.453872022098,26.1996707750823,629.665017157454,1403.98030489787,819.269008677663,1.61053250185715,1.54048405663875,1.34626879549314,2.27910329582812,0.334970634993201,128.549857005422,586.280497910827,234.305780526807,864.576261368228,660.548877238177,1373.17297980642,407.429624345305,2284.90823817089,4210.13665619724,1471.22058370715,2.16906878575707,2.20368743515365,2.0800686407753,3.36801484041123,0.335209882395753
"217",66.3844980634517,353.620043936173,71.0284552535299,568.371619858789,299.587443396309,675.42968232182,127.283005845863,1077.99045402654,2180.29058559053,1059.40461711194,1.81863695581228,1.80969529774939,1.62674445917609,2.69448680642218,0.339395684909906,32.9000761437083,228.344131888161,13.7095987377685,386.210976745471,132.005106462407,344.282270805586,24.509680625575,629.984548375063,1357.22227542275,798.838388188535,1.6066893981689,1.53904409040891,1.34482852780489,2.27614554503046,0.339228051858094,124.099670245498,562.544317904599,224.917755784633,859.906261045504,631.330090350563,1318.72265368372,386.203249416703,2283.73771831665,4148.30210618347,1449.97057759325,2.15786884604006,2.19552961286572,2.0725216069724,3.35706842489622,0.339463530750224
