"","mean","lower","upper"
"beta_M",0.29,0.28,0.31
"beta_A",0.32,0.3,0.34
"beta_O",0.28,0.26,0.3
"beta_Al",0.48,0.45,0.52
"rho_v",0.63,0.45,0.88
"rho_i",0.76,0.63,0.91
"omega_i1",0.38,0.35,0.41
"omega_i2",0.52,0.48,0.56
"I0_i_M",187.26,96.77,298.43
"I0_i_A",1.32,0.08,5.95
"I0_i_O",110.2,24.07,240.03
"I0_i_Al",99.08,36.28,193.39
"I0_v_M",17.21,7.49,29.14
"I0_v_A",0.03,0,0.12
"I0_v_O",2.29,0.15,9.29
"I0_v_Al",21.15,10.6,34.39
"k",0.04,0,0.09
