"","mean","lower","upper"
"beta_M",0.3,0.29,0.31
"beta_A",0.32,0.3,0.34
"beta_O",0.28,0.27,0.3
"beta_Al",0.49,0.46,0.52
"rho_v",0.27,0.01,0.77
"rho_i",0.49,0.2,0.81
"omega_i1",0.39,0.36,0.41
"omega_i2",0.53,0.49,0.57
"I0_i_M",179.54,90.4,297.03
"I0_i_A",0.87,0.06,4.02
"I0_i_O",101.45,22,228.5
"I0_i_Al",99.76,36.88,194.25
"I0_v_M",17.51,7.91,29.28
"I0_v_A",0.03,0,0.15
"I0_v_O",3.31,0.31,11.39
"I0_v_Al",20.03,9.7,32.84
"k",0.04,0,0.09
