"","x"
"1",11
"2",1
"3",32
"4",63
"5",93
"6",124
"7",154
"8",185
"9",216
"10",244
"11",275
"12",305
"13",336
"14",8740
"15",10509
"16",11671
"17",13683
"18",15431
"19",16437
"20",15779
"21",10526
"22",16214
"23",15095
"24",12633
"25",0
"26",0
"27",2031
"28",8887
"29",24029
"30",30039
"31",22719
"32",20865
"33",20939
"34",16522
"35",15153
"36",4753625
"37",93401
"38",335
"39",138
"40",258
"41",124
"42",93
