"","mean","lower","upper"
"beta_M",0.32,0.31,0.33
"beta_A",0.34,0.31,0.36
"beta_O",0.3,0.29,0.32
"beta_Al",0.49,0.46,0.52
"rho_v",0.82,0.47,0.99
"rho_i",0.82,0.47,0.99
"omega_i1",0.35,0.32,0.37
"omega_i2",0.49,0.45,0.53
"I0_i_M",114.74,57.37,188.07
"I0_i_A",1.53,0.16,6.24
"I0_i_O",76.38,16.98,174.34
"I0_i_Al",127.9,54.21,225.09
"I0_v_M",21.51,11.18,33.95
"I0_v_A",0.22,0.02,0.89
"I0_v_O",6.92,1.46,16.39
"I0_v_Al",17.79,8.57,29.15
"k",0.04,0.01,0.1
