"","mean","lower","upper"
"beta_M",0.3,0.29,0.31
"beta_A",0.33,0.3,0.35
"beta_O",0.28,0.26,0.3
"beta_Al",0.5,0.47,0.53
"rho_v",0.79,0.61,0.96
"rho_i",0.79,0.61,0.96
"omega_i1",0.39,0.36,0.42
"omega_i2",0.53,0.49,0.58
"I0_i_M",155.83,79.13,258
"I0_i_A",0.38,0.04,1.6
"I0_i_O",81.52,16.64,183.72
"I0_i_Al",93.61,35.07,177.15
"I0_v_M",20.3,10.18,32.99
"I0_v_A",0.05,0,0.2
"I0_v_O",6.37,1.24,14.94
"I0_v_Al",20.3,9.9,32.67
"k",0.05,0.01,0.1
