"","mean","lower","upper"
"beta_M",0.3,0.29,0.31
"beta_A",0.33,0.3,0.35
"beta_O",0.28,0.27,0.3
"beta_Al",0.5,0.46,0.53
"rho_v",0.49,0.1,0.9
"rho_i",0.49,0.1,0.9
"omega_i1",0.39,0.36,0.42
"omega_i2",0.53,0.49,0.57
"I0_i_M",157.09,82,254.43
"I0_i_A",0.41,0.03,1.77
"I0_i_O",80.65,16.83,180.43
"I0_i_Al",93.27,34.6,182.35
"I0_v_M",20.54,10.6,33.24
"I0_v_A",0.05,0,0.22
"I0_v_O",6.33,1.24,15.12
"I0_v_Al",20.31,9.74,33.54
"k",0.05,0.01,0.1
