"","beta_chain_A","beta_chain_M","beta_chain_O","beta_chain_Al","rho_chain","omega1_chain","omega2_chain","k_chain","I0_chain_M","I0_chain_A","I0_chain_O","I0_chain_Al"
"1",2.97807978708303,1.41554156638732,3.32953577971842,4.50445647544611,0.92713009012174,0.491547939630365,0.268554508350456,1.14130979115559,84.5421082823969,67.9500724181487,20.0260380541862,10.7915325193009
"2",3.55570823913773,1.46404113704082,4.06386723560103,4.59544842325426,0.961927339151256,0.558515297972815,0.321313128826075,0.466426089667318,152.440960667567,91.6274202664294,7.11566574348557,154.578472130628
"3",2.08551936558883,1.08464076221584,2.22468728305609,2.92769419853794,0.837305407602937,0.31052123049737,0.214161507751566,0.971342140179304,219.490611072088,61.4699306470951,80.8375461048113,12.5166564789734
"4",2.59983352158108,1.30249987852851,2.80342515390847,3.53771743124567,0.894379166931335,0.379260444840588,0.192314866891814,0.641486979718747,76.264539444755,35.7237400543687,40.0876603887774,32.0129114203515
"5",2.47910734359828,1.24572990020447,2.55507811982453,3.17118371852419,0.853480903911582,0.478441678485844,0.24943646940838,1.72318123077106,179.059438303748,10.0496393805297,17.0515912550607,111.052602075273
"6",2.96100780025161,1.46162203099764,3.81144690706408,4.321760642542,0.910630700368955,0.562388817998622,0.497765015196532,0.574096990774759,46.8723910495098,20.8461359041148,0.0356102170089196,53.2219810300568
"7",3.0457553105922,1.29207820362397,3.86859840911437,3.87183531117163,0.943170942940533,0.528999899705783,0.458595459828466,1.07602746672676,172.70528681069,159.30727157369,0.220366679488407,97.8380000485165
"8",2.02252585396224,1.11315200511727,2.10236000861407,3.00819615036287,0.807459323592776,0.33939185540924,0.114744130168745,0.945734418870391,196.277554477579,36.2409556680673,92.3901544884851,10.3983328946671
"9",1.95258202897298,1.14609250859619,2.18041022422293,2.60222865782526,0.803823122063083,0.346061591353552,0.045654848545128,0.562482838571665,173.102980612085,115.042234271563,19.5240332780107,127.086995537567
"10",2.9351893299747,1.31768114029529,3.55746737826695,4.90971810877352,0.935098831633924,0.405319426959833,0.194424713650181,0.616424243817401,112.74132143374,147.099854071554,7.29512060881375,0.941380218883575
"11",1.58540048142195,1.10392344182896,1.90948993662632,2.47568876914236,0.717549713034221,0.385126394402027,0.242640394015808,1.35153962890414,358.097976669911,166.038559411295,3.86645598401666,50.1912960877623
"12",2.06717100494415,1.14975770934638,2.25025304100244,2.84996799600407,0.84058211101153,0.33927604001563,0.0927561161246334,1.10618781037358,246.873710809148,177.11563613999,108.779569436778,63.2763122022116
