"","mean","lower","upper"
"beta_M",0.29,0.28,0.3
"beta_A",0.3,0.27,0.32
"beta_O",0.26,0.24,0.27
"beta_Al",0.47,0.45,0.5
"rho_v",0.87,0.31,1
"rho_i",0.87,0.31,1
"omega_i1",0.35,0.13,0.39
"omega_i2",0.49,0.14,0.56
"I0_i_M",96.4,50.31,157.97
"I0_i_A",1.01,0.05,6.38
"I0_i_O",94.89,21.05,215.14
"I0_i_Al",98.1,34.38,206.01
"I0_v_M",24.65,13.76,37.75
"I0_v_A",0.08,0.01,0.39
"I0_v_O",6.28,1.3,14.91
"I0_v_Al",21.46,9.24,35.58
"k",0.06,0.01,0.13
