"","V1","V2","V3"
"R0_chain_M",0.535937598755427,0.112718769157738,1.16839265468281
"R0_chain_A",0.871594318184018,0.294869298460779,1.36145121777864
"R0_chain_O",0.778334498327132,0.28301974782762,1.16807819917286
"R0_chain_Al",1.30458744217474,0.423823714950229,2.09317777335891
"beta_chain_A",2.11369709120797,1.06692763595625,3.54689753648977
"beta_chain_M",1.14334432732284,0.895313969330715,1.4224624926394
"beta_chain_O",1.90688112048013,0.933198841157543,3.33719300196435
"beta_chain_Al",3.13797144939227,1.61381147221054,5.16892303627729
"rho_chain",0.759491862044588,0.412916684213649,0.960253941188691
"omega1_chain",0.469457276754738,0.32481836216855,0.582425337288339
"omega2_chain",0.52197737495602,0.354675284612867,0.628577596894863
"k_chain",0.203316515235467,0.077368100859885,0.461884772094623
"I0_chain_M",1373.59077170167,380.095370251098,2758.85032236082
"I0_chain_A",87.2901081468673,8.07928852750512,408.968669586197
"I0_chain_O",316.12684472553,61.6726646644158,985.284478487321
"I0_chain_Al",42.5426483596909,5.40399027148503,168.128370654662
