"","R0_chain_M","R0_chain_A","R0_chain_O","R0_chain_Al","beta_chain_A","beta_chain_M","beta_chain_O","beta_chain_Al","rho_chain","omega1_chain","omega2_chain","k_chain","I0_chain_M","I0_chain_A","I0_chain_O","I0_chain_Al"
"1",0.492236556886565,0.903851378119994,0.79654577871191,1.29119817608165,2.08189300073922,1.13379684680202,1.83472982573529,2.97409121723412,0.79326246930099,0.496837858764653,0.520882416377071,0.122320487521934,1607.69944712127,20.4057981648118,225.532508505393,41.4020321872988
"2",0.557647275070522,0.961333969304444,0.897109604937221,1.6051271296061,1.92831932684834,1.11857278783234,1.79949304272829,3.21969031044176,0.762602555371698,0.48561958388787,0.559643266305113,0.134016938552947,1858.94211265138,58.5457315169021,90.3080435723893,7.59689335094031
"3",0.391348816296964,0.741913490130566,0.652414672469879,1.04713460114384,2.28840429360375,1.20710072457789,2.01234855215723,3.22984734624101,0.84561638031143,0.475977009282161,0.515661504042451,0.415285547482386,1229.23423402538,97.4095298491671,525.346915028643,55.4775469316397
"4",0.580683820790566,0.907644238114936,0.895330785856137,1.32248273561688,1.60761225681942,1.02850256569516,1.58580276809714,2.34237090473388,0.731146898061973,0.415266002904502,0.458321713305888,0.172080391603173,947.576292956986,213.909614650678,169.717372620122,48.3605130330957
"5",0.752443532289762,1.01469400365427,0.937596404827183,1.49138685607936,1.46553404186912,1.08676271583705,1.35418110667826,2.15402692763439,0.670299285459449,0.338557828785079,0.439388298417507,0.671486279529922,975.881822982554,360.396876560599,1322.21050000501,128.055128459164
"6",0.57534113903771,0.966291756604044,0.885801873285277,1.45555594152262,1.82183034191916,1.08473857599381,1.67007606000019,2.74428086600477,0.747430415923642,0.46537008713806,0.519830585447463,0.185364360100283,1243.63535667893,53.4905171765005,243.098210063642,35.624919362331
"7",0.287728221845281,0.597575275043804,0.509566695714324,0.926691824953921,2.81423064375355,1.35503193121629,2.39976162000741,4.36417743506883,0.898885453680077,0.552845156983345,0.597171965673482,0.184081769476474,524.755899564537,86.5506820446402,1050.33540705629,7.92882719206042
"8",0.0741181468845895,0.191057916213246,0.178995804618491,0.285900024914979,3.84782138924673,1.49270648694577,3.60489583078949,5.75789924258453,0.976355461728083,0.573838448683484,0.650237928437876,0.110761336857877,539.040227088949,180.489214044609,437.623816464011,3.05476338598851
"9",0.741385464063626,1.06329536406772,1.06415819459052,1.64199456022614,1.39172138020438,0.970381359853626,1.39285071804093,2.14916665008656,0.636183554446668,0.408179407345757,0.53039364282636,0.139986498397431,1026.43901559878,62.0085806315561,35.900539615483,17.4009662691252
"10",0.339359983451712,0.714750939010839,0.65972112107174,1.04314889967079,2.47693808308355,1.17603716344807,2.2862346585492,3.61498683652949,0.862589383105835,0.498093269263104,0.553901989006069,0.171383458242913,2133.99664618225,62.776940459548,264.681898863957,21.2158261585695
"11",0.576098216410445,0.984234198272119,0.825356942214703,1.36821301803036,2.00806658893511,1.17537429846456,1.68392004922873,2.79147265241968,0.766599895570844,0.498603276901366,0.520204557910173,0.387781483244477,625.367485947621,11.8819463504541,328.428116854127,72.1172150624407
"12",0.347417442039863,0.726273326329612,0.653045681754226,1.00081533390645,2.36155966411987,1.12966701101272,2.12345171569543,3.25426397762746,0.853552528710625,0.490728910570119,0.534404908823316,0.115785243783287,1879.09306111881,84.5856977389347,361.535219300996,58.4728698763739
"13",0.267268022587694,0.646207035587406,0.535450383350394,1.01507114606072,3.07647636518984,1.27241535511083,2.54918371108714,4.83257256245017,0.899977246867289,0.589290918783774,0.628109185775349,0.189859951488299,2597.28539329057,18.2161685274502,307.763360179359,10.5235855193484
