"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"lp__",-260.320568757515,0.0920208271254274,3.43043949652758,-267.936145658162,-262.463930279523,-259.974286452793,-257.795814234201,-254.783912700249,1389.7198563898,1.00116519148244
"beta[1]",0.424607866701666,0.000218947634843599,0.00847797086039444,0.408510645078909,0.418809866604633,0.424301448760803,0.430320547837235,0.441773983528963,1499.35103149154,1.00462057637429
"beta[2]",0.439006746257725,0.000352122300839176,0.0131506573811159,0.413794247717078,0.430072167522507,0.4389408204289,0.447697211695961,0.46502991519116,1394.78691431651,1.00277155938745
"beta[3]",0.369500892401749,0.000253475999425225,0.00993705733973301,0.349874837135206,0.363059364488519,0.369694805697535,0.376033893440765,0.388662892056802,1536.88688110497,1.00098749267197
"beta[4]",0.685406203893204,0.000559127483178761,0.0214560095266859,0.64545920486993,0.670993553972769,0.684173447228778,0.699122797069776,0.730967636650031,1472.57094333843,1.00234761545691
"rho_it",0.906550500958516,0.00193806621391245,0.0757575358986176,0.721346369142663,0.864101733936086,0.925208149213641,0.967305181989445,0.996750533364811,1527.96870504007,1.00190663174982
"rho_ven",0.529268398323211,0.00308195124964041,0.111447702090466,0.382937692123158,0.452859309619955,0.504227027668916,0.574346159827904,0.825481289600466,1307.64755798661,1.00015120584234
"omega[1]",0.409217558679677,0.000438495949023764,0.0174977503062832,0.37401480155782,0.397566127094184,0.409183601731222,0.420867236506891,0.444356453602731,1592.33066410373,1.00345797901349
"omega[2]",0.53497257743799,0.000551783029066432,0.0260755770247421,0.484241327559505,0.517427749200222,0.534846021918944,0.55309306218224,0.584383322247029,2233.21829716684,0.99999726434012
"omega[3]",0.30641089332632,0.00129809648730662,0.0477825623778699,0.205660083957947,0.276364487258445,0.307719611566143,0.340237825461065,0.394498168089721,1354.95515454235,1.00164364128375
"omega[4]",0.321717327460838,0.00240964407171445,0.0968207235498565,0.113583250838016,0.258616876800297,0.326573598785939,0.391244685363321,0.492016077322183,1614.4732447881,1.00174797845889
"I0_it[1]",79.6820752677949,0.86656915763095,36.0362023290152,27.9411097412407,53.485704960956,73.6110163442986,98.599306941651,166.214050018291,1729.30492207746,1.00218331917076
"I0_it[2]",0.749509956493232,0.0230655975859322,1.05424398313491,0.0432351719386976,0.205365193894091,0.429046860797622,0.890333534727607,3.41761946238862,2089.06926877197,1.00351971496456
"I0_it[3]",173.518161659815,1.6159676205072,100.746826282014,33.7024138512268,98.185498406056,155.186594627255,227.08657055458,417.518348561029,3886.84693993677,0.999459308791917
"I0_it[4]",290.550601708414,2.15878983941244,111.635264895671,110.161817527263,210.116370508404,276.999780201087,360.71662492881,540.291756390375,2674.1273374615,1.00125589541088
"I0_ven[1]",813.736416734646,2.76427228436246,129.717018833615,575.240780765587,723.89684050958,808.788239657178,899.793152189864,1078.09808666508,2202.07587759157,1.00183532136683
"I0_ven[2]",0.687879671175222,0.0191686252863338,0.806633849629252,0.0793510927838885,0.246305174004324,0.458332464519997,0.838082371719174,2.65764905154143,1770.80585846005,1.00386340846686
"I0_ven[3]",26.4801748223387,0.530091739686537,24.9076167530795,4.85813933980845,12.0853016443987,19.4764830345722,32.2646518971329,92.7786675913004,2207.81294775768,1.00071577309516
"I0_ven[4]",60.9021492860983,0.595310869839492,30.026605321938,19.6152081876037,39.3120994617729,54.7929668434166,76.6889114203604,134.931963670853,2544.04533469266,1.00010138980963
"k",0.0350660300146677,0.00043139391880551,0.022555499771691,0.00326527202563506,0.017720355645474,0.0312717138666845,0.0481230306418845,0.0888744829448951,2733.737884455,0.999994991856241
