"","mean","lower","upper","parameters","CrI","out"
"1",1.44,1.35,1.56,"R0_M","(1.35-1.56)","1.44 (1.35-1.56)"
"2",1.48,1.42,1.55,"R0_A","(1.42-1.55)","1.48 (1.42-1.55)"
"3",1.29,1.24,1.35,"R0_O","(1.24-1.35)","1.29 (1.24-1.35)"
"4",2.43,2.22,2.74,"R0_Al","(2.22-2.74)","2.43 (2.22-2.74)"
"beta_M",0.28,0.27,0.29,"beta_M","(0.27-0.29)","0.28 (0.27-0.29)"
"beta_A",0.29,0.26,0.32,"beta_A","(0.26-0.32)","0.29 (0.26-0.32)"
"beta_O",0.25,0.23,0.27,"beta_O","(0.23-0.27)","0.25 (0.23-0.27)"
"beta_Al",0.47,0.45,0.5,"beta_Al","(0.45-0.5)","0.47 (0.45-0.5)"
"rho_v",66.36,25.32,99.44,"rho_v","(25.32-99.44)","66.36% (25.32-99.44)"
"omega_i1",29.03,10.3,39.2,"omega_i1","(10.3-39.2)","29.03% (10.3-39.2)"
"omega_i2",40,6.58,55.85,"omega_i2","(6.58-55.85)","40% (6.58-55.85)"
"I0_i_M",96.14,47.23,161.63,"I0_i_M","(47.23-161.63)","96.14 (47.23-161.63)"
"I0_i_A",0.91,0.04,4.15,"I0_i_A","(0.04-4.15)","0.91 (0.04-4.15)"
"I0_i_O",107.05,21.49,250.25,"I0_i_O","(21.49-250.25)","107.05 (21.49-250.25)"
"I0_i_Al",109.25,32.36,238.61,"I0_i_Al","(32.36-238.61)","109.25 (32.36-238.61)"
"I0_v_M",24.27,13.17,37.61,"I0_v_M","(13.17-37.61)","24.27 (13.17-37.61)"
"I0_v_A",0.07,0,0.25,"I0_v_A","(0-0.25)","0.07 (0-0.25)"
"I0_v_O",5.99,1.43,14.59,"I0_v_O","(1.43-14.59)","5.99 (1.43-14.59)"
"I0_v_Al",18.42,6.17,33.06,"I0_v_Al","(6.17-33.06)","18.42 (6.17-33.06)"
"k",0.07,0.02,0.14,"k","(0.02-0.14)","0.07 (0.02-0.14)"
