"","variant","lower","mean","upper","Location"
"1","pMO",0.000585825084061028,0.000585834047700714,0.000585838418525501,"Rest of Italy"
"2","R0_A",0.00105948963420865,0.00109805418721067,0.00114098073173926,"Rest of Italy"
"3","R0_Al",0.0016346922203582,0.00170844166056037,0.00180793862913272,"Rest of Italy"
"4","R0_M",0.00105365794371454,0.00107712764458372,0.00111153300524532,"Rest of Italy"
"5","R0_O",0.000935679883393521,0.000954185462837345,0.000989025050906267,"Rest of Italy"
"6","rep_A",1.88313216975885,2.69980861568503,3.69062422892645,"Rest of Italy"
"7","rep_Al",1.90102322897076,2.75998283956244,3.95949092508944,"Rest of Italy"
"8","rep_M",0.185514675642827,0.248084464407611,0.303285408872977,"Rest of Italy"
"9","rep_O",1.1418781136284,1.6208181267242,2.3413280709977,"Rest of Italy"
"10","rep_tot",6.08109771367949,7.32869404637928,9.22019803653826,"Rest of Italy"
"11","true_A",3.89264527831671,5.82049685880476,8.61482730806574,"Rest of Italy"
"12","true_Al",4.17180892137674,6.24355053281559,9.87758851174455,"Rest of Italy"
"13","true_M",0.507188091167025,0.683075486418997,0.92725424770229,"Rest of Italy"
"14","true_O",2.31934848623833,3.41070476531038,5.23707444518388,"Rest of Italy"
"15","true_tot",12.7002618145043,16.1578276433497,23.5683117464168,"Rest of Italy"
"16","ratio_M",0.29556352548918,0.375244465131555,0.405878685520344,"Rest of Italy"
"17","ratio_A",0.382703935206017,0.48118144852352,0.521524800085454,"Rest of Italy"
"18","ratio_O",0.422745173070266,0.529974384288665,0.574398357194122,"Rest of Italy"
"19","ratio_Al",0.326339282862007,0.413737815239118,0.449076325947042,"Rest of Italy"
