"","fit_SEIR_M","fit_SEIR_A","fit_SEIR_O","fit_SEIR_Al","true_SEIR_M","true_SEIR_A","true_SEIR_O","true_SEIR_Al","total_incidence","total_reported_incidence","R0_M","R0_A","R0_O","R0_Al","pPCR","Rep_M","Rep_A","Rep_O","Rep_Al","Rep_tot"
"mean",5068.85454058551,49472.392128086,29571.6496441059,75495.4491527991,21803.955722623,116955.679808856,57975.7364186405,195080.572264905,391815.944215024,159608.345465577,562.431367599625,579.285880054594,520.574846202846,862.706603338043,140.967145165034,0.329825937446075,0.592426249538981,0.630140899009246,0.515032913968395,0.552725420047485
"lower",1753.9278434708,5744.56393364848,8385.33207008249,2032.50920282111,3735.90724232262,7637.50426237986,10502.9206328044,3070.57335723687,29814.2201441066,22069.8825493878,509.013191852217,503.8562488512,441.187003188604,738.007531365085,140.76753400041,0.102405195301522,0.296722420837494,0.315266082435097,0.279027677974288,0.28115183018141
"upper",11192.4303552945,177443.936840472,82614.7135781921,277981.828446656,93555.5206791183,583118.560766015,208997.981031498,981475.594140902,1847622.80264606,529827.647792287,651.023101179898,684.413643913044,645.880466867787,1039.41587885403,141.014635208316,0.508782605887947,0.846217606500382,0.861251379771447,0.657762553744018,0.760831554943452
