"","fit_SEIR_M","fit_SEIR_A","fit_SEIR_O","fit_SEIR_Al","true_SEIR_M","true_SEIR_A","true_SEIR_O","true_SEIR_Al","total_incidence","total_reported_incidence","R0_M","R0_A","R0_O","R0_Al","pPCR","Rep_M","Rep_A","Rep_O","Rep_Al","Rep_tot"
"mean",7609.78406454093,44293.9948512371,28270.3681042519,27119.7867973823,13451.4087153698,86998.7474950171,48662.626962288,65152.9374333832,214265.720606058,107293.933817412,229.576879792891,387.606929214126,347.222032067128,578.713218551962,334.945534522114,0.698542239256396,0.698675423580871,0.698687775212908,0.698701650452261,0.698676657128782
"lower",2142.12424402369,4642.40557072066,7415.25464598227,332.751585844941,2454.38201463569,5392.16704064637,8682.74241186586,385.662304313104,19952.6770293512,17337.0537206332,110.958657625395,288.994068181426,273.677063329049,408.067471030019,334.591383400433,0.378816387603816,0.379560184230458,0.379620442352612,0.379686732211484,0.379599062021004
"upper",22652.2495073623,186120.097521009,81949.266263415,268736.399918231,57774.5021197716,477709.329088175,174013.031266356,688232.182658012,1404714.68664251,512400.301740545,410.053132226541,482.69750635653,419.241991152225,753.729642027657,334.999380251195,0.883426048789328,0.883433164893349,0.883433284901998,0.88343134247063,0.883431776576782
