"","variant","lower","mean","upper"
"1","rep_A",2.44663972140483,3.15507225002202,3.99312879983993
"2","rep_Al",2.81032482282599,4.06027554340116,6.01056222097826
"3","rep_M",0.50757059937599,0.636783380151152,0.949006251650913
"4","rep_O",0.824804115151691,1.20100925064216,1.57765916207835
"5","rep_tot",7.13458331777124,9.05314042421649,11.6767258019785
"6","true_A",4.3365652093547,5.94813288630223,8.32242045050697
"7","true_Al",5.13023181147679,7.72191165066558,11.9736375291613
"8","true_M",0.961683559184242,1.28650943304151,2.34957306680018
"9","true_O",1.50751503769427,2.27029681560394,3.30474488551224
"10","true_tot",12.7819490961175,17.2268507856133,24.568811826336
