"","variant","lower","mean","upper"
"1","rep_A",4.12101443969495,5.65961965825163,6.9302572329108
"2","rep_Al",0.00490714376896594,0.0098281483700869,0.023294117037013
"3","rep_M",0,0,0
"4","rep_O",1.93378562653614,2.84745249520395,4.27699736332559
"5","rep_tot",6.18306125315686,8.51690030182566,10.1088614960227
"6","true_A",11.4800442046546,14.9318287189241,17.666283693759
"7","true_Al",0.0124100725559757,0.0272702005398989,0.0773436147596039
"8","true_M",14.3162660896206,17.8229390961376,20.3112846701435
"9","true_O",5.25825533874291,7.50356384275134,10.829345742411
"10","true_tot",37.1921581221167,40.285601858353,42.7359620975382
