"","M_fit_M","A_fit_M","O_fit_M","Al_fit_M","T_M_fit_M","T_A_fit_M","T_O_fit_M","T_Al_fit_M","total_M","total_rep_M","M_R0_M","A_R0_M","O_R0_M","Al_R0_M","pPCR_M","M_fit_L","A_fit_L","O_fit_L","Al_fit_L","T_M_fit_L","T_A_fit_L","T_O_fit_L","T_Al_fit_L","total_L","total_rep_L","M_R0_L","A_R0_L","O_R0_L","Al_R0_L","pPCR_L","M_fit_U","A_fit_U","O_fit_U","Al_fit_U","T_M_fit_U","T_A_fit_U","T_O_fit_U","T_Al_fit_U","total_U","total_rep_U","M_R0_U","A_R0_U","O_R0_U","Al_R0_U","pPCR_U"
"1",0,0.0843024660274477,23.3935605961518,0,0,0.395503392668157,96.2698117833038,0,96.6653151759719,23.4778630621792,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.00970272674693346,7.32998811409126,0,0,0.030299724439613,23.5576938944624,0,23.6007600052119,7.91546561377561,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.33908248937559,66.0335550031575,0,0,1.76224312132811,221.994518525968,0,222.573114210267,66.0796466298087,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"2",0,0.129901452897369,35.6872948548242,0,0,0.609187306164339,146.884504071644,0,147.493691377808,35.8171963077216,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0150531556036925,11.2079447782262,0,0,0.0469883384942011,35.9979578897652,0,36.064619517738,12.1089989870254,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.521689747866013,100.593685454407,0,0,2.71121968993181,338.281240478907,0,339.173235688336,100.66490095073,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"3",0,0.157126341528573,42.4982903972739,0,0,0.736408075699996,174.960831105199,0,175.697239180899,42.6554167388025,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0184003174329258,13.3952479940957,0,0,0.057399344637269,42.9803684936646,0,43.0615661110626,14.4830177244546,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.629520091701333,119.52898712853,0,0,3.27151982664225,402.145725718439,0,403.225481193986,119.615489507518,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"4",0,0.175800202274438,46.6122882034698,0,0,0.823287349249007,191.958208283446,0,192.781495632695,46.7880884057443,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0208615779980346,14.7598732538673,0,0,0.0650242505383045,47.2988041417833,0,47.3904552737589,15.9737964261641,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.702191258091146,130.730408195205,0,0,3.64904812886814,440.095532847668,0,441.304749056046,130.82770335036,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"5",0,0.190680149865126,49.4112273008402,0,0,0.892180859477563,203.558890087134,0,204.451070946611,49.6019074507053,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0229711785817951,15.7297369021503,0,0,0.0715335158967856,50.3330265386214,0,50.4334372834843,17.0423629662022,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.758945967502342,138.139333627272,0,0,3.94381854245684,465.319506244866,0,466.632449860486,138.243471961596,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"6",0,0.204081054660709,51.5810211382607,0,0,0.953974334397435,212.58203606222,0,213.536010396617,51.7851021929214,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0249874933483239,16.516005829942,0,0,0.0777351134878184,52.7650063302786,0,52.873639036192,17.9159804800714,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.809163080274699,143.728540893029,0,0,4.20457905957476,484.382170391367,0,485.788934682814,143.840735134303,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"7",0,0.217141000159174,53.4624866295154,0,0,1.01402032758978,220.427903750979,0,221.441924078569,53.6796276296746,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0270386162171241,17.2230960387424,0,0,0.0840291755421307,54.9323991815719,0,55.0492864636656,18.7069378676105,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.857447874272597,148.451270905848,0,0,4.45526639978821,500.553321187102,0,502.051772280527,148.571464049464,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"8",0,0.230431725711958,55.2253480855681,0,0,1.07500516494527,227.793625524688,0,228.868630689633,55.4557798112801,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.029191369857734,17.9028440361411,0,0,0.0906237076567629,57.0029841546892,0,57.1284509768075,19.4709728589004,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.906097717886637,152.793573663102,0,0,4.7078209700924,515.463759764148,0,517.05566589902,152.922013700614,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"9",0,0.24425317216926,56.954517395809,0,0,1.13833376608889,235.027932666434,0,236.166266432523,57.1987705679783,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0314840209265901,18.581217603329,0,0,0.0976369988880665,59.0607484495119,0,59.1952812113894,20.2360410391687,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,0.956295523153116,156.975582120576,0,0,4.9683899731729,529.929649214539,0,531.618827184982,157.122029777194,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
"10",0,0.258775631767481,58.6928728437464,0,0,1.2047986798382,242.306988912041,0,243.511787591879,58.9516484755139,1.38682613869937,1.50286506397395,1.23561706251233,2.2352467837437,1,0,0.0339418265445333,19.2714448282485,0,0,0.105146284622707,61.1483698360589,0,61.2925555163029,21.0068894264324,1.20543744697091,1.40229786136864,1.17186339844542,1.99541280393751,1,0,1.00868865897327,160.560226357357,0,0,5.24033652365126,544.361633789431,0,546.153065274863,160.716531654735,1.55391402163823,1.61069375275878,1.28858025643021,2.49251232104312,1
