"","variant","lower","mean","upper"
"1","rep_A",1.83404344238544,4.71251353567047,6.93086342324015
"2","rep_Al",0.00563169678309832,0.0148599188385589,0.0378793025446466
"3","rep_M",0,0,0
"4","rep_O",1.02033163983129,2.46213782192961,3.66479161739625
"5","rep_tot",2.90547470062638,7.18951127643864,10.2003529162436
"6","true_A",4.51168101480525,11.5926140511964,17.0496750970083
"7","true_Al",0.0138539752175627,0.0365592144493519,0.0932108100863228
"8","true_M",16.9015929665429,21.2879875442293,28.3853500548237
"9","true_O",2.50997918855391,6.05677061317402,9.0152557561136
"10","true_tot",34.6571292099533,38.9739314230491,42.6618854077531
