"","variant","lower","mean","upper","R0_scale"
"1","rep_A",3.20982439386794,4.06344360966902,5.16338947381681,".8"
"2","rep_Al",3.09336250205112,4.24680385102321,5.6112016047655,".8"
"3","rep_M",0.00648841334560371,0.00801268481706416,0.00951287934653405,".8"
"4","rep_O",0.939887888031182,1.35751230781189,1.81507455085168,".8"
"5","rep_tot",8.50082556719922,9.67577245332118,11.3672963907123,".8"
"6","true_A",7.40822347304563,9.62756699620695,11.9298534270621,".8"
"7","true_Al",6.90177504259472,10.0002255936831,15.149569016948,".8"
"8","true_M",0.0283949290231881,0.0357279405898682,0.0455406893505547,".8"
"9","true_O",2.32302619190815,3.19186058982724,4.56026061388313,".8"
"10","true_tot",19.0726526464133,22.8553811203072,29.5615225283753,".8"
"11","rep_A",2.83347779405065,3.58599176176284,4.59309757672722,"1"
"12","rep_Al",1.6213361759814,2.14904808028134,2.97406365755606,"1"
"13","rep_M",0.778770094489788,0.92209111826243,1.04821001260143,"1"
"14","rep_O",0.880782790555761,1.2809177857892,1.7259371670439,"1"
"15","rep_tot",7.09187242312507,7.93804874609581,9.11424015402117,"1"
"16","true_A",6.5258581605574,8.47791282533915,10.6908633208882,"1"
"17","true_Al",3.66929550645933,5.0610050139531,7.43072538917663,"1"
"18","true_M",4.03067510955739,4.83424412433634,6.04712401493918,"1"
"19","true_O",2.17946578920467,3.00530773212932,4.24682981027473,"1"
"20","true_tot",18.6165954028669,21.3784696957579,26.103133450731,"1"
"21","rep_A",0.6884676252691,0.97613718813771,1.38588661186062,"1.2"
"22","rep_Al",0.00100302561634076,0.00205197098813253,0.0032795769541607,"1.2"
"23","rep_M",9.42097028795855,10.8318588338914,11.7642014317173,"1.2"
"24","rep_O",0.410639834604306,0.623182714415957,0.861405407024321,"1.2"
"25","rep_tot",10.8314077394048,12.4332307074332,13.4354431161706,"1.2"
"26","true_A",1.64887106490153,2.27638394334275,3.27646822142949,"1.2"
"27","true_Al",0.00311259851905095,0.00479501708132085,0.00751756703119862,"1.2"
"28","true_M",53.4570747514426,56.3069250448052,59.7608154054268,"1.2"
"29","true_O",1.02431367685985,1.43277506649757,1.95572511384129,"1.2"
"30","true_tot",57.4008789054388,60.0208790717269,63.6416647878648,"1.2"
"31","rep_A",0.133044365265854,0.208752476747545,0.3471641435543,"1.4"
"32","rep_Al",4.70190817661936e-05,9.42344545405577e-05,0.000148680718682184,"1.4"
"33","rep_M",15.1675577951562,17.8486297419993,19.2050241796015,"1.4"
"34","rep_O",0.158651233373413,0.246719535861943,0.346954092081872,"1.4"
"35","rep_tot",15.6160352317011,18.3041959890633,19.6424045577497,"1.4"
"36","true_A",0.312488732694592,0.473789358674899,0.816387480382543,"1.4"
"37","true_Al",0.000131774819305918,0.000220247388552713,0.000337096003493831,"1.4"
"38","true_M",80.9808986711518,82.2225061894909,83.5513144555871,"1.4"
"39","true_O",0.360070199156411,0.547206247191391,0.762093642330075,"1.4"
"40","true_tot",82.2367331912206,83.2437220427457,84.5384874939163,"1.4"
"41","rep_A",0.0464089452302401,0.0776932475597382,0.142195452847315,"1.6"
"42","rep_Al",1.61457224107586e-05,3.0906119259577e-05,4.85983685344093e-05,"1.6"
"43","rep_M",19.2474524675069,22.6033427552111,24.2457821487885,"1.6"
"44","rep_O",0.0822007014780639,0.137396778927845,0.197864925948478,"1.6"
"45","rep_tot",19.417752727696,22.818463687818,24.4590150026675,"1.6"
"46","true_A",0.100734127272113,0.17114422760055,0.323343881823605,"1.6"
"47","true_Al",4.17989840277497e-05,7.23793012043932e-05,0.000108655893869975,"1.6"
"48","true_M",87.6831599636481,88.4761101000658,89.4474572008917,"1.6"
"49","true_O",0.188267985834208,0.295275357883976,0.420157954930641,"1.6"
"50","true_tot",88.2791983191234,88.9426020648515,89.8913308984137,"1.6"
