"","variant","lower","mean","upper","R0_scale"
"1","rep_A",3.95610358023198,7.10304814763255,9.43707826545026,".8"
"2","rep_Al",0.0396034667681597,0.865267354309807,4.47636904356667,".8"
"3","rep_M",0,0,0,".8"
"4","rep_O",1.26931062077464,3.01639915823354,4.44858409916889,".8"
"5","rep_tot",8.33696345092806,10.9847146601759,13.6704055877345,".8"
"6","true_A",9.73188094486733,17.4732447044511,23.2148738293445,".8"
"7","true_Al",0.0974831434400094,2.13239259750608,11.0681157646202,".8"
"8","true_M",0.200696337058908,0.261014492956303,0.330235362293486,".8"
"9","true_O",3.12245858410571,7.42023360631128,10.9433571168742,".8"
"10","true_tot",20.8032753201591,27.2868854012247,33.8342598439996,".8"
"11","rep_A",2.03541426072824,4.74505487034981,6.71433005581841,"1"
"12","rep_Al",0.00660297951034263,0.0208811953777053,0.0406314497833303,"1"
"13","rep_M",0,0,0,"1"
"14","rep_O",0.919532391063049,2.39411758886301,3.5586033782781,"1"
"15","rep_tot",3.26298495207547,7.16005365459053,9.56509117612806,"1"
"16","true_A",5.00704599347075,11.67266456565,16.5170107910729,"1"
"17","true_Al",0.0162432634722713,0.0514099465429139,0.0999716159148443,"1"
"18","true_M",17.102539060338,21.2488513867556,27.2549852507524,"1"
"19","true_O",2.26201665665528,5.8894432828188,8.75403650170271,"1"
"20","true_tot",34.8910785070042,38.8623691817673,42.4944648962096,"1"
"21","rep_A",0.28852266676757,0.868612794889203,1.49717004747493,"1.2"
"22","rep_Al",0.000115542429027504,0.000190262768024337,0.000306087802526424,"1.2"
"23","rep_M",0,0,0,"1.2"
"24","rep_O",0.311109781682149,0.836026738323179,1.29532362305266,"1.2"
"25","rep_tot",0.666843886110956,1.70482979598041,2.59056939271507,"1.2"
"26","true_A",0.709755397819414,2.13675627878577,3.68298454521396,"1.2"
"27","true_Al",0.000284230225646366,0.000468039575962068,0.000752965000925993,"1.2"
"28","true_M",70.4269921467657,73.2523937166038,76.034510447214,"1.2"
"29","true_O",0.765318889282304,2.05659574997707,3.18644959054552,"1.2"
"30","true_tot",75.7802093416081,77.4462137849426,78.8745551256982,"1.2"
"31","rep_A",0.0657987671521122,0.236132575230364,0.45005852977013,"1.4"
"32","rep_Al",2.07142091506624e-05,3.61807354400794e-05,5.33898433576888e-05,"1.4"
"33","rep_M",0,0,0,"1.4"
"34","rep_O",0.134458901551655,0.369893348695123,0.59505720677435,"1.4"
"35","rep_tot",0.239306649385438,0.606062104660928,0.968236716803002,"1.4"
"36","true_A",0.161862604000178,0.580877654252944,1.10712781916836,"1.4"
"37","true_Al",5.09562105499554e-05,8.90033097342731e-05,0.000131337097138296,"1.4"
"38","true_M",84.5926910114497,85.8503789470587,86.9697988746731,"1.4"
"39","true_O",0.33076406866167,0.909924352894451,1.46381935690229,"1.4"
"40","true_tot",86.4040378196608,87.3412699575158,88.2770580127063,"1.4"
"41","rep_A",0.0259905604290357,0.103233124187172,0.207747157600672,"1.6"
"42","rep_Al",1.06296456078613e-05,1.86433609713184e-05,2.74612523398764e-05,"1.6"
"43","rep_M",0,0,0,"1.6"
"44","rep_O",0.0793548197971263,0.219306601902856,0.361647813259294,"1.6"
"45","rep_tot",0.127619531016798,0.322558369450999,0.521690446827276,"1.6"
"46","true_A",0.0639358451920879,0.253949777833688,0.511050546359677,"1.6"
"47","true_Al",2.61485464265609e-05,4.58619984042666e-05,6.75536944721567e-05,"1.6"
"48","true_M",90.2753144009778,91.0986542092433,91.8368854922698,"1.6"
"49","true_O",0.195210006634834,0.539486364180108,0.889640631864638,"1.6"
"50","true_tot",91.2213120751667,91.8921362132556,92.5596598492283,"1.6"
