"","fit_SEIR_M","fit_SEIR_A","fit_SEIR_O","fit_SEIR_Al","true_SEIR_M","true_SEIR_A","true_SEIR_O","true_SEIR_Al","total_incidence","total_reported_incidence","R0_M","R0_A","R0_O","R0_Al","pPCR","Rep_M","Rep_A","Rep_O","Rep_Al","Rep_tot"
"mean",47303.9137111061,199845.960924134,87010.8026666677,111403.42630607,181079.005027038,379728.180270312,157414.698722225,203091.095182125,921312.979201699,445564.103607977,486.362266867534,535.485156353186,480.962098681715,797.810710328359,185.311333431471,0.269096100435963,0.572086556391246,0.584233459675513,0.577076291260879,0.51174763262717
"lower",26584.9914551852,111668.845952341,45425.8067049843,84891.0810359586,110246.470825386,162504.262876672,68094.7648428207,132799.974631644,561726.572439394,321720.430989538,445.851388385926,475.485037092762,428.771918369497,697.122292902321,185.257265263832,0.145516238363524,0.310427398974831,0.317366466917252,0.312562740983672,0.287276782045784
"upper",79017.441633152,345154.93554327,188877.873755415,154495.352230716,294551.723401564,818566.059615599,383620.003911871,376162.047897416,1734107.61183773,618939.580050938,547.631500673426,604.239054005895,564.198709225373,909.801964870432,185.336324590041,0.339561083018163,0.723925657088641,0.73968509104512,0.729955340051152,0.635577366391312
