"","variant","lower","mean","upper"
"1","rep_A",2.66870761370704,3.42224809770859,4.2749464842937
"2","rep_Al",3.26601486980271,4.40164323912797,5.9077793285017
"3","rep_M",0.504563421408047,0.625361098422496,0.85901513316984
"4","rep_O",0.865050468543524,1.25199825530699,1.62720131025351
"5","rep_tot",8.08309673644162,9.70125069056605,11.6597030253806
"6","true_A",5.46002416300388,7.3249099835282,9.95429290117088
"7","true_Al",7.08385027660175,9.88011758296448,14.1815721800914
"8","true_M",1.34690684776485,1.72506059051747,2.97886894717653
"9","true_O",1.75224988686421,2.62619446083653,3.653898995531
"10","true_tot",17.3343566829557,21.5562826178467,27.9710430686687
