"","variant","lower","mean","upper"
"1","rep_A",0.373492359739883,1.60002569182454,2.488898435904
"2","rep_Al",0.0111286723349201,0.0220635739797876,0.0527180306751605
"3","rep_M",0,0,0
"4","rep_O",0.242678747182875,0.814051660844602,1.57618511047769
"5","rep_tot",0.660880506876212,2.43614092664893,3.69757286126517
"6","true_A",0.723471885236779,3.09932337492346,4.8211107720274
"7","true_Al",0.0215573916806597,0.0427400636106938,0.10212860319865
"8","true_M",29.5260227764937,31.9719905976474,34.2159121927963
"9","true_O",0.470079897708326,1.57685551738858,3.05314307115264
"10","true_tot",33.647070223937,36.6909095535702,39.4264328945283
